timeOnIce,goals,assists,plusMinus,powerPlayGoals,shots,hits,penaltyMinutes,points
981.0,0.4,0.6,0.6,0.0,1.8,0.6,0.0,1.0
987.2,0.4,0.4,0.6,0.0,1.8,0.6,0.0,0.0
945.4,0.2,0.2,0.2,0.0,1.6,0.8,0.0,1.0
931.2,0.2,0.4,0.6,0.0,1.8,0.4,0.0,2.0
962.2,0.2,0.6,0.8,0.0,2.2,1.0,0.0,1.0
974.6,0.4,0.6,0.4,0.2,2.4,1.2,0.0,0.0
975.0,0.2,0.6,0.2,0.2,2.2,1.6,0.0,1.0
1050.4,0.2,0.8,0.6,0.2,2.2,1.2,0.0,1.0
1076.6,0.2,0.8,0.4,0.2,1.6,1.4,0.0,1.0
1052.4,0.4,0.4,0.6,0.2,1.8,1.2,0.0,0.0
1054.8,0.2,0.4,0.4,0.0,1.8,1.6,0.0,1.0
1044.2,0.2,0.6,0.6,0.0,1.6,1.4,0.0,0.0
945.6,0.0,0.2,0.0,0.0,2.0,1.6,0.0,0.0
948.4,0.0,0.2,0.0,0.0,1.8,1.4,0.0,1.0
1004.0,0.2,0.2,0.4,0.0,2.4,1.4,0.0,0.0
1046.8,0.2,0.0,0.0,0.0,1.8,1.6,0.0,0.0
1116.2,0.2,0.0,0.2,0.0,1.6,2.0,0.0,1.0
1214.0,0.2,0.2,0.2,0.0,1.4,1.8,0.0,0.0
1247.2,0.2,0.2,0.0,0.0,1.4,1.8,0.4,0.0
1236.2,0.0,0.2,-0.8,0.0,0.8,1.8,0.4,0.0
1234.2,0.0,0.2,-0.8,0.0,0.8,2.0,0.4,0.0
1230.0,0.0,0.2,-0.4,0.0,1.2,1.2,0.8,1.0
1201.0,0.0,0.2,-0.4,0.0,0.8,1.2,0.8,1.0
1214.2,0.0,0.4,-0.2,0.0,0.8,1.0,0.8,0.0
1165.4,0.0,0.4,0.4,0.0,1.0,1.0,1.2,0.0
996.8,0.0,0.4,0.6,0.0,1.0,0.4,1.2,0.0
920.0,0.0,0.4,0.2,0.0,1.0,0.4,0.8,1.0
